,Open,High,Low,Close,Adj Close,Volume,20_SMA,50_SMA,TP,std,MA-TP,BOLU,BOLD,macd,signal,hist,Supertrend,Final Lowerband,Final Upperband
640,4603.0,4629.9501953125,4592.7998046875,4610.85009765625,4610.85009765625,118491,4639.636363636364,4639.636363636364,4611.200032552083,,,,,,,,True,4391.696542551724,
641,4617.9501953125,4636.5498046875,4601.64990234375,4628.39990234375,4628.39990234375,96290,4638.6999918619795,4638.6999918619795,4622.199869791667,,,,,,,,True,4415.444735413448,
642,4640.0,4666.35009765625,4619.0,4660.75,4660.75,263771,4640.396146334135,4640.396146334135,4648.700032552083,,,,,,,,True,4447.280016119346,
643,4689.0,4727.10009765625,4574.4501953125,4630.14990234375,4630.14990234375,433867,4639.664271763393,4639.664271763393,4643.900065104167,,,,,,,,True,4447.280016119346,
644,4624.0,4646.89990234375,4569.75,4584.0498046875,4584.0498046875,293384,4635.956640625,4635.956640625,4600.233235677083,,,,,,,,True,4447.280016119346,
645,4586.5,4620.0,4586.0,4600.4501953125,4600.4501953125,283469,4633.737487792969,4633.737487792969,4602.150065104167,,,,,,,,True,4447.280016119346,
646,4615.0,4671.0,4605.0498046875,4664.5498046875,4664.5498046875,320941,4635.549977022059,4635.549977022059,4646.866536458333,,,,,,,,True,4447.280016119346,
647,4688.9501953125,4720.7998046875,4661.60009765625,4675.0,4675.0,370694,4637.741644965277,4637.741644965277,4685.799967447917,,,,,,,,True,4481.159992769971,
648,4675.0,4703.0498046875,4602.2001953125,4613.7998046875,4613.7998046875,479472,4636.4815481085525,4636.4815481085525,4639.683268229167,,,,,,,,True,4481.159992769971,
649,4622.39990234375,4699.0,4619.0,4668.4501953125,4668.4501953125,456071,4638.07998046875,4638.07998046875,4662.150065104167,38.89637842928259,4642.252482096354,4720.045238954919,4564.459725237788,,,,True,4481.159992769971,
650,4683.0,4689.39990234375,4622.39990234375,4637.14990234375,4637.14990234375,328037,4634.337475585938,4638.035691034226,4649.64990234375,28.417004237710483,4636.798307291667,4693.632315767088,4579.964298816246,,,,True,4481.159992769971,
651,4639.0,4735.0,4635.35009765625,4701.60009765625,4701.60009765625,353620,4635.9124755859375,4640.924982244318,4690.650065104167,28.199963257610133,4636.6866455078125,4693.086572023033,4580.286718992592,,,,True,4481.159992769971,
652,4701.5,4710.0,4666.7001953125,4683.7998046875,4683.7998046875,224928,4637.594970703125,4642.789104959239,4686.833333333333,29.799176528492225,4637.940812174479,4697.539165231464,4578.342459117494,,,,True,4481.159992769971,
653,4679.0,4725.0,4655.0,4717.2001953125,4717.2001953125,319934,4640.127490234375,4645.889567057292,4699.066731770833,32.42516831745108,4640.019986979167,4704.870323614069,4575.1696503442645,,,,True,4481.159992769971,
654,4717.2001953125,4784.60009765625,4702.7001953125,4759.5498046875,4759.5498046875,209769,4646.274975585938,4650.4359765625,4748.950032552083,40.0989385285234,4644.570825195313,4724.76870225236,4564.372948138266,,,,True,4522.226975934628,
655,4779.0,4810.0,4763.0,4806.39990234375,4806.39990234375,151600,4656.64248046875,4656.434589092548,4793.13330078125,50.683414832899075,4653.716658528646,4755.083488194444,4552.349828862848,,,,True,4572.568105384113,
656,4843.9501953125,4849.85009765625,4762.60009765625,4820.60009765625,4820.60009765625,305478,4666.837475585938,4662.514793113426,4811.016764322917,59.42664923785241,4664.410823567709,4783.264122043413,4545.557525092004,,,,True,4587.216164018049,
657,4820.0,4843.0,4800.25,4808.2998046875,4808.2998046875,207142,4677.2224609375,4667.721400669643,4817.183268229167,65.63343249914315,4675.680818684896,4806.947683683182,4544.41395368661,,,,True,4612.193175463586,
658,4814.9501953125,4858.0,4787.5498046875,4844.5,4844.5,249498,4686.554956054688,4673.817214439655,4830.0166015625,72.91367104148715,4685.4758138020825,4831.303155885057,4539.648471719108,,,,True,4613.1417173295795,
659,4894.89990234375,5149.0,4893.0,5130.5,5130.5,1689829,4712.302465820312,4689.039973958334,5057.5,107.44670998569882,4707.344156901041,4922.237576872439,4492.450736929643,,,,True,4737.864275711227,
660,456.29998779296875,461.3999938964844,454.25,454.95001220703125,454.95001220703125,6834401,454.95001220703125,454.95001220703125,456.8666687011719,,,,,,,,True,,
661,454.1000061035156,456.54998779296875,450.95001220703125,454.8999938964844,454.8999938964844,9161131,454.9250030517578,454.9250030517578,454.1333312988281,,,,,,,,True,,
